INFO:root:Episode: 920, length: 89, reward: -411.15, ewma reward: -109.27, val loss: 320.50, act loss: -396.57
INFO:root:Episode: 940, length: 342, reward: -102.30, ewma reward: -171.32, val loss: 223.21, act loss: -380.94
INFO:root:Episode: 960, length: 480, reward: -160.87, ewma reward: -110.87, val loss: 176.67, act loss: -343.33
INFO:root:Episode: 980, length: 1000, reward: -139.21, ewma reward: -128.31, val loss: 176.37, act loss: -324.42
INFO:root:Running reward is now -125.01838353377099 and the total episode is 999.
INFO:root:lr_a = 0.008260822477490755, lr_c = 0.001054018334878011 , lr_a_decay=0.8567153357165131 , lr_c_decay=0.8131126532709557, noise_scale = 0.02822209373503532 , batch_size = 211
INFO:root:Episode: 0, length: 103, reward: -305.46, ewma reward: -15.27, val loss: nan, act loss: nan
INFO:root:Episode: 20, length: 153, reward: -220.02, ewma reward: -196.69, val loss: 12.36, act loss: 8.96
INFO:root:Episode: 40, length: 111, reward: -41.68, ewma reward: -207.53, val loss: 16.58, act loss: 14.94
INFO:root:Episode: 60, length: 115, reward: -225.73, ewma reward: -217.81, val loss: 12.21, act loss: 16.74
INFO:root:Episode: 80, length: 362, reward: -205.54, ewma reward: -245.81, val loss: 14.03, act loss: 1.80
INFO:root:Episode: 100, length: 396, reward: -120.18, ewma reward: -230.00, val loss: 11.32, act loss: -12.43
INFO:root:Episode: 120, length: 185, reward: 222.21, ewma reward: -141.12, val loss: 14.59, act loss: -22.85
INFO:root:Episode: 140, length: 143, reward: -88.19, ewma reward: -148.20, val loss: 14.09, act loss: -37.29
INFO:root:Episode: 160, length: 385, reward: 0.05, ewma reward: -187.52, val loss: 14.85, act loss: -46.23
INFO:root:Episode: 180, length: 1000, reward: -60.57, ewma reward: -142.72, val loss: 17.65, act loss: -62.06
INFO:root:Episode: 200, length: 105, reward: -50.75, ewma reward: -102.81, val loss: 22.92, act loss: -78.31
INFO:root:Episode: 220, length: 204, reward: -74.79, ewma reward: -69.66, val loss: 30.46, act loss: -96.39
INFO:root:Episode: 240, length: 98, reward: -26.21, ewma reward: -5.02, val loss: 36.42, act loss: -105.82
INFO:root:Episode: 260, length: 148, reward: -167.66, ewma reward: -69.45, val loss: 43.20, act loss: -113.96
INFO:root:Episode: 280, length: 135, reward: 14.67, ewma reward: -37.17, val loss: 44.83, act loss: -124.67
INFO:root:Episode: 300, length: 118, reward: -154.20, ewma reward: -87.97, val loss: 60.51, act loss: -138.17
INFO:root:Episode: 320, length: 1000, reward: -115.15, ewma reward: -53.30, val loss: 53.00, act loss: -147.10
INFO:root:Episode: 340, length: 159, reward: 1.37, ewma reward: -72.53, val loss: 58.85, act loss: -163.07
INFO:root:Episode: 360, length: 117, reward: -194.58, ewma reward: -62.16, val loss: 54.00, act loss: -186.20
INFO:root:Episode: 380, length: 1000, reward: -33.36, ewma reward: 1.19, val loss: 59.13, act loss: -191.61
INFO:root:Episode: 400, length: 111, reward: -4.81, ewma reward: -62.25, val loss: 71.63, act loss: -197.07
INFO:root:Episode: 420, length: 840, reward: 102.67, ewma reward: 37.93, val loss: 61.76, act loss: -185.61
INFO:root:Episode: 440, length: 263, reward: -116.71, ewma reward: 13.47, val loss: 70.04, act loss: -178.88
INFO:root:Episode: 460, length: 298, reward: 193.78, ewma reward: -51.99, val loss: 54.70, act loss: -179.18
INFO:root:Episode: 480, length: 144, reward: -113.58, ewma reward: -66.99, val loss: 59.74, act loss: -176.18
INFO:root:Episode: 500, length: 1000, reward: -52.48, ewma reward: -47.82, val loss: 49.56, act loss: -163.36
INFO:root:Episode: 520, length: 329, reward: 2.54, ewma reward: -31.49, val loss: 29.44, act loss: -149.28
INFO:root:Episode: 540, length: 1000, reward: -40.97, ewma reward: 13.20, val loss: 26.66, act loss: -138.32
INFO:root:Episode: 560, length: 84, reward: -23.55, ewma reward: 56.39, val loss: 30.83, act loss: -129.29
INFO:root:Episode: 580, length: 253, reward: 209.73, ewma reward: 42.68, val loss: 27.54, act loss: -115.36
INFO:root:Episode: 600, length: 1000, reward: 52.10, ewma reward: 85.89, val loss: 20.25, act loss: -101.09
INFO:root:Running reward is now 127.88150582066605 and the total episode is 616.
INFO:root:lr_a = 0.00011788029384964265, lr_c = 0.00611943341111011 , lr_a_decay=0.8663764511335434 , lr_c_decay=0.9119296730912616, noise_scale = 0.167749823259935 , batch_size = 143
INFO:root:Episode: 0, length: 103, reward: -305.46, ewma reward: -15.27, val loss: nan, act loss: nan
INFO:root:Episode: 20, length: 101, reward: -451.09, ewma reward: -242.11, val loss: 39.25, act loss: -2.48
INFO:root:Episode: 40, length: 88, reward: -219.09, ewma reward: -283.14, val loss: 29.88, act loss: 3.21
INFO:root:Episode: 60, length: 111, reward: -362.68, ewma reward: -244.32, val loss: 52.22, act loss: -14.36
INFO:root:Episode: 80, length: 98, reward: 23.26, ewma reward: -217.16, val loss: 30.22, act loss: -18.50
INFO:root:Episode: 100, length: 57, reward: -302.36, ewma reward: -216.11, val loss: 34.01, act loss: -24.27
INFO:root:Episode: 120, length: 83, reward: -483.09, ewma reward: -248.61, val loss: 27.29, act loss: -25.47
INFO:root:Episode: 140, length: 135, reward: -24.00, ewma reward: -176.16, val loss: 34.16, act loss: -33.38
INFO:root:Episode: 160, length: 162, reward: -107.75, ewma reward: -155.04, val loss: 32.51, act loss: -39.77
INFO:root:Episode: 180, length: 123, reward: -300.96, ewma reward: -207.66, val loss: 44.92, act loss: -41.36
INFO:root:Episode: 200, length: 169, reward: -268.97, ewma reward: -245.21, val loss: 38.79, act loss: -47.12
INFO:root:Episode: 220, length: 70, reward: -62.82, ewma reward: -221.63, val loss: 42.39, act loss: -52.88
INFO:root:Episode: 240, length: 121, reward: -221.97, ewma reward: -230.76, val loss: 50.86, act loss: -61.86
INFO:root:Episode: 260, length: 190, reward: -291.12, ewma reward: -215.03, val loss: 58.16, act loss: -81.64
